BM25 Weight,FAISS Weight,MAP,nDCG@10,Precision@10,Recall@10,Retrieved Count
0.0,1.0,0.1998944746881528,0.2449132815974105,0.06600000000000018,0.30968102453102464,49900
0.1,0.9,0.2250771625226579,0.27082281225724847,0.07020000000000023,0.32581911976911976,49900
0.2,0.8,0.2402065359688699,0.2863039294361131,0.07280000000000027,0.3406101454101452,49900
0.3,0.7,0.2419538616822335,0.2860852164892007,0.07180000000000024,0.3379022089022088,49900
0.4,0.6,0.23585176051283321,0.27841775916982836,0.07000000000000024,0.33090049950049927,49900
0.5,0.5,0.23199394704075413,0.2722730156312169,0.06820000000000022,0.31884811854811834,49900
0.6,0.4,0.22420830834795327,0.26576746195067746,0.0672000000000002,0.31555367410367385,49900
0.7,0.3,0.21630729460724463,0.2544900666201207,0.06400000000000015,0.29990367410367397,49900
0.8,0.2,0.20752879999148177,0.24542211245196313,0.06140000000000014,0.29178145188145177,49900
0.9,0.1,0.2023124123313913,0.24206980570143483,0.06100000000000014,0.29209256299256287,49900
1.0,0.0,0.19776992460066029,0.23718838427912803,0.05940000000000012,0.285540182040182,49900
