alpha,beta,map,ndcg_cut_10,P_10,P_20,recall_10,recall_20
0.0,0.0,0.11672038971257886,0.15651436104703953,0.045200000000000046,0.03240000000000008,0.22709908424908423,0.30802765567765555
0.0,0.2,0.15112163799970438,0.1992882246699072,0.05440000000000011,0.03240000000000008,0.26912527472527464,0.30802765567765555
0.0,0.4,0.17763247310091712,0.22636269988237112,0.05740000000000013,0.03240000000000008,0.28246654456654446,0.30802765567765555
0.0,0.6000000000000001,0.19333755728643384,0.24029029778991326,0.05800000000000014,0.03240000000000008,0.2831887667887667,0.30802765567765555
0.0,0.8,0.1966800324435587,0.24253631705993442,0.05720000000000014,0.03240000000000008,0.2820109890109889,0.30802765567765555
0.0,1.0,0.19301149322471808,0.23900273883824777,0.056800000000000135,0.03240000000000008,0.281158608058608,0.30802765567765555
0.2,0.0,0.17656313200503765,0.22307758636887196,0.05800000000000013,0.03870000000000013,0.2881340048840048,0.36137534687534656
0.2,0.2,0.2038504606221366,0.2565617960063474,0.06560000000000019,0.03870000000000013,0.31923003663003635,0.36137534687534656
0.2,0.4,0.22313961381029157,0.2762404319158616,0.06800000000000021,0.03870000000000013,0.329746703296703,0.36137534687534656
0.2,0.6000000000000001,0.23206734803644208,0.2832768073485094,0.0678000000000002,0.03870000000000013,0.3290753468753466,0.36137534687534656
0.2,0.8,0.22886387683217083,0.28065555429602684,0.0678000000000002,0.03870000000000013,0.32900868020867996,0.36137534687534656
0.2,1.0,0.22227069088349782,0.2749738460518649,0.0678000000000002,0.03870000000000013,0.3296531246531244,0.36137534687534656
0.4,0.0,0.20902337756193287,0.26311897459500366,0.0670000000000002,0.04050000000000015,0.32763956043956016,0.37315446775446753
0.4,0.2,0.229795907551421,0.28682432424087617,0.07240000000000026,0.04050000000000015,0.34519181929181914,0.37315446775446753
0.4,0.4,0.2401881163265754,0.29558960094882303,0.07200000000000029,0.04050000000000015,0.3451997058497057,0.37315446775446753
0.4,0.6000000000000001,0.24677989960092742,0.29758533298235573,0.07060000000000026,0.04050000000000015,0.3395219280719279,0.37315446775446753
0.4,0.8,0.24230995291906882,0.29398928605025937,0.07040000000000025,0.04050000000000015,0.3380385947385946,0.37315446775446753
0.4,1.0,0.225057414769272,0.27852297534924736,0.06980000000000025,0.04050000000000015,0.33547192807192794,0.37315446775446753
0.6000000000000001,0.0,0.21636131704865733,0.270038943928337,0.07000000000000023,0.04170000000000016,0.33040220890220867,0.38197113442113423
0.6000000000000001,0.2,0.232275352094995,0.28982100858766074,0.07380000000000027,0.04170000000000016,0.3521639915639915,0.38197113442113423
0.6000000000000001,0.4,0.24364798572627694,0.30119450298572104,0.07500000000000026,0.04170000000000016,0.3569941502941502,0.38197113442113423
0.6000000000000001,0.6000000000000001,0.2521978635144811,0.30639811274366574,0.07360000000000028,0.04170000000000016,0.35357192807192805,0.38197113442113423
0.6000000000000001,0.8,0.24767632072641552,0.30080645628983954,0.07240000000000026,0.04170000000000016,0.3466385947385947,0.38197113442113423
0.6000000000000001,1.0,0.22860673224844474,0.2835068983912782,0.07180000000000025,0.04170000000000016,0.34181808191808194,0.38197113442113423
0.8,0.0,0.2214556019009111,0.2729307136244241,0.06900000000000021,0.04200000000000016,0.3281758963258962,0.38300764235764234
0.8,0.2,0.23113020727824513,0.2861232785401097,0.07300000000000026,0.04200000000000016,0.3422203407703406,0.38300764235764234
0.8,0.4,0.2427281540551239,0.2976869899364268,0.07420000000000028,0.04200000000000016,0.34883700743700735,0.38300764235764234
0.8,0.6000000000000001,0.24988985717907977,0.3051647615137138,0.07480000000000027,0.04200000000000016,0.3527219280719281,0.38300764235764234
0.8,0.8,0.24818293366142097,0.30309491852485904,0.07380000000000027,0.04200000000000016,0.3504719280719281,0.38300764235764234
0.8,1.0,0.22956586541162707,0.2862932059644548,0.07340000000000027,0.04200000000000016,0.3459719280719281,0.38300764235764234
1.0,0.0,0.21557976078203755,0.26710940608481704,0.06740000000000021,0.040800000000000156,0.3228870074370072,0.37841399156399147
1.0,0.2,0.23130690934908713,0.28553598798937146,0.07180000000000025,0.040800000000000156,0.3393092296592295,0.37841399156399147
1.0,0.4,0.23828711551119458,0.29352657707025354,0.07280000000000027,0.040800000000000156,0.3472425629925628,0.37841399156399147
1.0,0.6000000000000001,0.24806512553408067,0.30159029957643696,0.07260000000000026,0.040800000000000156,0.3469092296592296,0.37841399156399147
1.0,0.8,0.249561759777317,0.30242114184890795,0.07200000000000026,0.040800000000000156,0.34515922965922957,0.37841399156399147
1.0,1.0,0.23181206974094382,0.28727771950539055,0.07160000000000025,0.040800000000000156,0.3452703407703407,0.37841399156399147
